scenario	weight
0	0.083034
1	5e-06
2	2.8e-05
3	0.002401
4	6.3e-05
5	1e-06
6	2.6e-05
7	1.3e-05
8	2e-06
9	0.001008
10	0.009207
11	0.054148
12	2e-06
13	0.071904
14	2.9e-05
15	0.002845
16	0.000478
17	4e-06
18	5e-05
19	0.005995
20	1.1e-05
21	0.003555
22	0.006136
23	0.000437
24	6.2e-05
25	0.007935
26	0.009637
27	0.008167
28	0.070419
29	1.3e-05
30	5e-06
31	2e-06
32	7.5e-05
33	4.6e-05
34	0.005267
35	0.007742
36	4.6e-05
37	0.000306
38	0.014131
39	1.2e-05
40	2.2e-05
41	0.002591
42	0.000152
43	0.010673
44	0.011049
45	0.000903
46	3e-06
47	0.000145
48	2e-05
49	0.00883
50	0.000622
51	0.030308
52	0.00038
53	0.001987
54	1.8e-05
55	5.8e-05
56	0.000134
57	0.020202
58	0.057011
59	0.00611
60	0.003936
61	0.0001
62	0.000336
63	0.000816
64	0.001232
65	0.001741
66	0.009587
67	0.027564
68	0.060576
69	0.037885
70	2e-06
71	0.012167
72	0.000897
73	0.000591
74	0.006331
75	0.015466
76	0.002682
77	1.4e-05
78	6.1e-05
79	0.000255
80	0.001328
81	0.076778
82	0.000116
83	0.000856
84	5.9e-05
85	0.002378
86	0.00188
87	0.000115
88	6.7e-05
89	0.00143
90	0.002926
91	0.018357
92	0.023634
93	0.002445
94	0.015689
95	0.00494
96	0.000795
97	0.001006
98	0.000179
99	1.1e-05
100	0.003587
101	0.030276
102	0.011448
103	5.8e-05
104	0.000131
105	0.00016
106	0.004767
107	0.001532
108	0.018304
109	2.1e-05
110	3.6e-05
111	0.000406
112	0.001573
113	0.004354
114	1e-06
115	0.032834
116	0.002298
117	0.014994
118	0.003952
119	0.001694
120	0.000452
121	7e-06
122	3.9e-05
123	0.0132
124	0.000183
